[MF-BCE] Epoch 1/50, Train loss: 0.509656, Validate loss: 0.581568, NDCG@10: 0.050575, HitRate@10: 0.110251
[MF-BCE] Epoch 2/50, Train loss: 0.506397, Validate loss: 0.579076, NDCG@10: 0.052106, HitRate@10: 0.114593
[MF-BCE] Epoch 3/50, Train loss: 0.503223, Validate loss: 0.576632, NDCG@10: 0.051097, HitRate@10: 0.112944
[MF-BCE] Epoch 4/50, Train loss: 0.500103, Validate loss: 0.574239, NDCG@10: 0.053566, HitRate@10: 0.118111
[MF-BCE] Epoch 5/50, Train loss: 0.497036, Validate loss: 0.571894, NDCG@10: 0.055129, HitRate@10: 0.121580
[MF-BCE] Epoch 6/50, Train loss: 0.494038, Validate loss: 0.569596, NDCG@10: 0.059852, HitRate@10: 0.130822
[MF-BCE] Epoch 7/50, Train loss: 0.491113, Validate loss: 0.567345, NDCG@10: 0.062872, HitRate@10: 0.136474
[MF-BCE] Epoch 8/50, Train loss: 0.488256, Validate loss: 0.565140, NDCG@10: 0.062429, HitRate@10: 0.137468
[MF-BCE] Epoch 9/50, Train loss: 0.485460, Validate loss: 0.562982, NDCG@10: 0.064961, HitRate@10: 0.141617
[MF-BCE] Epoch 10/50, Train loss: 0.482723, Validate loss: 0.560869, NDCG@10: 0.068735, HitRate@10: 0.148336
[MF-BCE] Epoch 11/50, Train loss: 0.480048, Validate loss: 0.558801, NDCG@10: 0.072790, HitRate@10: 0.158039
[MF-BCE] Epoch 12/50, Train loss: 0.477437, Validate loss: 0.556776, NDCG@10: 0.073976, HitRate@10: 0.160538
[MF-BCE] Epoch 13/50, Train loss: 0.474889, Validate loss: 0.554794, NDCG@10: 0.073508, HitRate@10: 0.160489
[MF-BCE] Epoch 14/50, Train loss: 0.472401, Validate loss: 0.552853, NDCG@10: 0.072984, HitRate@10: 0.160950
[MF-BCE] Epoch 15/50, Train loss: 0.469970, Validate loss: 0.550954, NDCG@10: 0.074437, HitRate@10: 0.163303
[MF-BCE] Epoch 16/50, Train loss: 0.467597, Validate loss: 0.549095, NDCG@10: 0.075781, HitRate@10: 0.166238
[MF-BCE] Epoch 17/50, Train loss: 0.465282, Validate loss: 0.547275, NDCG@10: 0.076027, HitRate@10: 0.166359
[MF-BCE] Epoch 18/50, Train loss: 0.463024, Validate loss: 0.545493, NDCG@10: 0.076095, HitRate@10: 0.165680
[MF-BCE] Epoch 19/50, Train loss: 0.460821, Validate loss: 0.543749, NDCG@10: 0.075133, HitRate@10: 0.164758
[MF-BCE] Epoch 20/50, Train loss: 0.458672, Validate loss: 0.542041, NDCG@10: 0.074946, HitRate@10: 0.165098
[MF-BCE] Epoch 21/50, Train loss: 0.456576, Validate loss: 0.540370, NDCG@10: 0.074765, HitRate@10: 0.164419
[MF-BCE] Epoch 22/50, Train loss: 0.454531, Validate loss: 0.538733, NDCG@10: 0.074510, HitRate@10: 0.164880
[MF-BCE] Epoch 23/50, Train loss: 0.452537, Validate loss: 0.537130, NDCG@10: 0.074120, HitRate@10: 0.164613
[MF-BCE] Epoch 24/50, Train loss: 0.450593, Validate loss: 0.535560, NDCG@10: 0.074597, HitRate@10: 0.163351
[MF-BCE] Epoch 25/50, Train loss: 0.448697, Validate loss: 0.534024, NDCG@10: 0.073301, HitRate@10: 0.162187
[MF-BCE] Epoch 26/50, Train loss: 0.446848, Validate loss: 0.532520, NDCG@10: 0.073445, HitRate@10: 0.162017
[MF-BCE] Epoch 27/50, Train loss: 0.445045, Validate loss: 0.531047, NDCG@10: 0.072982, HitRate@10: 0.161532
[MF-BCE] Epoch 28/50, Train loss: 0.443287, Validate loss: 0.529604, NDCG@10: 0.071783, HitRate@10: 0.159713
